	Filename / Номер оригинала в архиве	Source Text Title (or first line) / Название или первая строка	Genre / Жанр	Source Text Size (in tokens) / Объем в словоупотреблениях	Number of Translations / Кол-во переводов
	EN_3_17	Aerial Navigation: Wings, Slats and Flaps	Educational	664	16
	EN_3_18	Internal Combustion	Educational	843	22
	EN_3_19	Higgs Boson to the World Wide Web: 7 Big Discoveries Made at CERN	Informational	1067	19
	EN_3_20	The Origin of the Solar System	Educational	634	21
	EN_3_21	Solitary confinement is cruel and all too usual. Why is it only getting worse?	Informational	960	18
	EN_3_22	Maker Faire Brings Innovation to Life This Weekend in NYC	Informational	460	18
SECTION_4					
	EN_4_5	Double, oil and trouble May 23rd 2008	Informational	390	11
	EN_4_7	Vital statistics May 29th 2008	Essay	387	11
	EN_4_8	"And now I am going to play the organ", said Beste-Chetwynde.	Fiction	138	6
	EN_4_9	There was a strong hope that Miss Simmonds' one eye would survive.	Fiction	129	6
	EN_4_16	Choosing new friends The European Union is struggling to help Arab revolutionaries	Essay	982	3
	EMPTY				
	EMPTY				
	EN_4_19	A matter of life and death Setbacks for opponents of capital punishment, but they are making more progress than meets the eye	Essay	970	8
	EMPTY				
	RU_4_22	Российские и германские ученые предложили совершенно новую гипотезу о причинах массового вымирания живых существ на Земле	Informational	528	1
	RU_4_23	Набор из 10 предложений	Не-текст	97	7
	RU_4_24	Набор из 10 предложений	Не-текст	89	7
	EN_4_25	Don't shoot the messenger	Informational	535	2
	EN_4_26	A bad idea...	Informational	551	5
	EN_4_27	Don't ban Ban	Fiction	488	3
	EN_4_28	In The Bank	Fiction	478	4
	RU_4_29	22 декабря 2009 г. состоялось очередное заседание Коллегии экологов Общественного Совета г. Тюмени	Informational	310	16
	RU_4_30	Владислав Квасов, управляющий Тюменским филиалом ОАО "Промсвязьбанк":	Speech	323	14
	EN_4_31	China’s political cage	Essay	878	29
	EN_4_32	Don't count on China to rescue the West	Essay	12582	1
	EMPTY				
	EN_4_34	Stephen Davies The History of Deflation.	Essay	1000	1
	EN_4_35	Robert Higgs America’s Depression within a Depression, 1937–39	Essay	998	1
	EN_4_36	Dwight R. Lee Public Interest or Private Interest?	Essay	1022	1
	EN_4_37	Warren C. Gibson Unemployment: What Is It?	Essay	2068	1
	EN_4_38	Walter E. Williams Drugs, Economics, and Liberty	Essay	1073	1
	EMPTY				
	EN_4_40	European foreign policy and the economic crisis: what impact and how to respond?	Academic	10276	1
	EN_4_41	The Big Mac index Fast food for thought	Essay	615	1
	EN_4_42	The euro-zone crisis China to the rescue?	Essay	682	1
	EN_4_43	Americans make up half of the world's richest 1%	Essay	308	1
	EN_4_44	Russia and world trade In at last?	Essay	517	1
	EN_4_45	Poverty Facts and Stats	Informational	960	1
	EN_4_46	Russian Oil and Gas Challenges Summary	Academic	3644	1
	EN_4_47	There could be trouble ahead	Essay	1253	1
SECTION _5					
	EN_5_1	Blinded side-to-side comparison of topical corticosteroid 	Academic	159	1
	EN_5_2	Overcoming Cardiovascular Disease	Informational	886	1
	EN_5_3	In The Footsteps of Charles Dickens	Advertisement	515	1
	EN_5_4	OmegaT: a free and very useful TenT	Educational	509	1
	EN_5_5	Investing In Paper Art Buchwald	Essay	556	4
	EN_5_6	He walks like Putin, talks like Putin and buys the same suits as Putin.	Essay	194	8
	EN_5_7	System Center Technical Preview 3	Tech	774	1
	EN_5_8	A River Runs through It	Fiction	1073	1
	EN_5_9	There are two possible approaches to automating the translation process:	Educational	261	6
	EN_5_10	No more novelty songs: let’s pick a Eurovision entry that isn’t unbearably awful	Informational	677	1
	EN_5_11	Role And Status Of Translators And Interpreters	Educational	251	8
	RU_5_12	Начало 2005-го, объявленного в Удмуртии Годом пожилых людей,	Informational	93	11
	EN_5_13	“Speech of the weather”: Writers in transit	Essay/contest	222	16
	EN_5_14	Trip Planner: Kent	Advertisement	510	3
	EN_5_15	Road to the 2010 Games	Advertisement	829	2
	EN_5_16	Kandinsky retrospective opens at the Guggenheim in September	Informational	650	7
	EN_5_17	Reasons for Global Recession	Informational	1236	7
SECTION _6					
	EN_6_1	Indomitable Little Man Joseph North	Essay	689	49
	EN_6_2	Congress – what is it? D.C.Coyle	Educational	523	38
	EN_6_3	Introduction To The United Nations Peter Lyon	Educational	608	35
	EN_6_4	Matching The Man And The Right Job (6 lttters)	Fiction	479	28
	EN_6_5	Survey: Workers would give up coffee for Web	Informational	242	9
	EN_6_6	7 sentences	Fiction (не-текст)	81	1
	EN_6_7	9 sentences	Fiction (не-текст)	80	1
	EN_6_8	9 sentences	Fiction (не-текст)	129	1
	EN_6_9	Abstract: Dissertation at Uppsala University to be publicly examined in the lecture hall IX, University Hall	Academic	379	2
	EN_6_10	How to stop the drug wars Mar 5th 2009	Essay	1707	2
	RU_6_11	Ирина Ковалева Пейзаж с блаженным Иеронимом	Essay	263	67
	RU_6_12	ОБСЕ отказалась гарантировать демократичность думских выборов	Informational	277	40
	RU_6_13	Британское Министерство юстиции потеряло данные пяти тысяч сотрудников	Informational	154	58
	RU_6_14	British Airways предложит уволиться двум тысячам менеджеров	Informational	162	20
	RU_6_15	Книжный обменник приглашает горожан принять участие в Новогоднем фестивале рукодельных подарков	Informational	173	37
	RU_6_16	Кредитование юридических лиц	Tech	186	17
	RU_6_17	Опыт работы 2007 - наст. вр.  Отдел потребительских кредитов Wells Fargo   Феникс, Аризона, США	Tech	198	36
	RU_6_18	Кредиты для физических лиц предоставляются на различные потребительские цели и неотложные единовременные потребности	Tech	346	21
	RU_6_19	Цитаты из речи Андрея Сахарова (part1)	Speech	225	12
	RU_6_20	Антикопирайт	Essay	248	21
	RU_6_21	Yahoo! и Microsoft удалили Иран из списков стран-пользователей электронной почты	Informational	170	21
	EN_6_22	Seven new deadly sins: are you guilty?	Informational	277	7
	RU_6_23	Цитаты из речи Андрея Сахарова (part2)	Speech	214	5
