	Filename / Номер оригинала в архиве	Source Text Title (or first line) / Название или первая строка	Genre / Жанр	Source Text Size (in tokens) / Объем в словоупотреблениях	Number of Translations / Кол-во переводов
	EN_1_100	Bacterial Biofuels: Microbes Turn CO2 to Fuel	Informational	753	4
	EN_1_101	Pussy Riot: Putin v punk	Essay	689	15
	EN_1_102	Anti-Drug Agency Seeks Translators Fluent In Ebonics	Informational		17
	EN_1_103	United Nations Conference On Trade And Development	Educational	8907	1
	EN_1_104	Special Purpose Vehicles and Securitization	Academic	9998	1
	EN_1_105	Without Cause	Tech	91	2
	EN_1_106	The Child Who Drinks More Thinks More	Informational	99	3
	EN_1_107	2. The buyer hereby undertakes to accept	Tech	116	2
	EN_1_108	During the course of the audit, the auditor	Tech	103	4
	EN_1_109	Dear Sirs,When we attended the International Electronics Trade Fair	Letters	92	2
	EN_1_110	It ought to be a surprise to find vodka so widely used as a cocktail base.	Informational	114	2
	EN_1_111	Cool down this summer with nice, refreshing ices	Advertisement	103	3
	EN_1_112	The best mornings start with Warburtons.	Advertisement	80	4
	EN_1_113	There is little consensus as to what effect the AIDS epidemic	Informational	97	2
	EN_1_114	Product Placement: On Broadway	Informational	395	45
	RU_1_115	Капризные дети	Educational	416	22
	EN_1_116	D'oh! German broadcaster pulls 'nuclear' simpsons episodes	Informational	258	12
	RU_1_117	Уважаемые участники и гости Форума «ФИНБИЗНЕС-2003»!	Speech	447	6
	RU_1_118	В.ПУТИН: Уважаемый президент Международного олимпийского комитета господин Рогге! Уважаемые дамы и господа! Дорогие друзья!	Speech	443	10
	EN_1_119	'You've got to find what you love,' Jobs says	Speech	491	5
	EN_1_120	How to select the best candidates - and avoid the worst	Informational	345	3
	EN_1_121	How's your social security?	Informational	279	49
	EN_1_122	Early Risers Get Ahead Of The Game	Informational	332	22
	EN_1_123	Teach Five-Year-Olds To Beware Of Advertising, Says Government Inquiry	Informational	415	34
	EN_1_124	Climate Change Scientist Faces Lie Detector Test	Informational	460	5
	EMPTY				
	EN_1_126	Democracies Don't Fight	Essay	332	5
	EN_1_127	The idea that Europe and America had been fundamentally drifting apart	Essay	334	1
	EN_1_128	Israeli and Palestinian leaders resumed direct peace negotiations	Essay	218	8
	EN_1_129	Marit Bjoergen: The greatest Winter Olympian you've never heard of	Essay	364	3
	EN_1_130	How Nuclear Bombs Work	Educational	403	13
	EN_1_131	How Artificial Photosynthesis Works	Educational	403	12
	EN_1_132	The Problem of Generations	Essay	617	1
	EN_1_133	A Billboard That Condenses Water From Humidity	Informational	723	3
